"id";"name";"cond";"vat"
"4200359";"Intellivision - Snafu (nur Modul) (gebraucht)";"1";"2"
"9040257";"GameBoy - FIFA Soccer 96 (Modul) (gebraucht)";"1";"2"
"9049634";"Playstation 1 - Agile Warrior F-111X (mit OVP) (gebraucht)";"1";"2"
"9057461";"Playstation 2 - Commandos 2: Men of Courage (mit OVP) (gebraucht)";"1";"2"
"3992803";"PC - Spiele-Hits Doppel-Pack fÃ¼r Windows: Sudoku & Mahjongg (NEU & OVP) #";"0";"2"
"2081664";"PSVita - FIFA 12 PSV (NEU & OVP)";"0";"0"
"4000258";"Saturn - Break Point (mit OVP) (gebraucht)";"1";"2"
"9049469";"Playstation 1 - Future Racer (mit OVP) (gebraucht)";"1";"2"
"9038530";"GameBoy Advance/DS - SpongeBob Schwammkopf - Bikini Bottom (mit OVP) (gebraucht)";"1";"2"
"4141706";"GameBoy Advance/DS - Pokemon - Video - A hot water battle + For Ho-Oh the Bells Toll! (Modul) (gebraucht)";"1";"2"
"4141890";"Xbox 360 - Dark Souls (mit OVP) (gebraucht) USK18";"1";"2"
"9034590";"N64 - Banjo - Kazooie Spieleberater (gebraucht)";"1";"2"
"5825578";"GameBoy Color - Alone in the Dark - The New Nightmare (NEU & OVP) verschweiÃŸt";"0";"0"
"9031929";"GameBoy - Prince of Persia (Modul) (gebraucht)";"1";"2"
"9001793";"Playstation 1 - Original Multitab Adapter / 4 Spieler Adapter (SCPH-1070) [Sony] (NEU & OVP)";"0";"0"
"9025937";"Xbox - Crash N Burn (mit OVP) (gebraucht)";"1";"2"
"9051699";"N64 - Controller Performance SuperPad Colours #blau (gebraucht)";"1";"2"
"9054567";"Dreamcast - Maken X (nur CD) (gebraucht)";"1";"2"
"5000548";"Specials - Video zu VGA-Konverter-Box (NEU & OVP)";"0";"0"
"9072270";;"1";"0"
"9025357";"PC - Mass Effect ";"0";"0"
"9072100";"Wii - U-SING: U've got talent! (mit OVP) (gebraucht)";"1";"0"
"4000340";"Xbox - Blood Rayne 2 (mit OVP) (gebraucht) USK18#1";"1";"2"
"2083724";"PC - PC Mouse Razer Abyssus Mirror (NEU & OVP)";"0";"0"
"2083992";"PS3 - All Star Battle Royal (NEU & OVP) USK18 (Vorbestellung: Erscheint am 30.10.12)";"0";"0"
"4001242";"PC - STALKER: Complete Edition (gebraucht) USK18";"1";"2"
